grid_size,seed,used_seed,V,E,fundamental_cycles_total,cycle_len_min,cycle_len_max,cycle_len_median,cycle_len_mean,frac_local_cycles,base_path_length,single_xor_compatibility_rate,valid_paths_xor_single,pair_xor_compatibility_rate,valid_paths_xor_pairs,valid_paths_xor_total,time_xor_ms,paths_found_astar_repeated,time_astar_repeated_ms,astar_success,diversity_xor,diversity_astar,fail_degree,fail_disconnected,fail_both
30,8,8,627,879,253,4,96,8.0,15.84189723320158,0.6245059288537549,58,0.1541501976284585,39,0.024,12,51,42.75086500001635,10,6.583452000086254,True,0.26486096024418276,0.49710176143463547,20,192,2
30,9,9,630,875,246,4,112,6.0,15.772357723577235,0.6504065040650406,58,0.1016260162601626,25,0.014,7,32,40.59546500002398,10,6.283801000108724,True,0.35001145603581696,0.4758693082093156,12,207,2
30,10,13,601,821,221,4,150,8.0,19.56561085972851,0.6199095022624435,58,0.11764705882352941,26,0.038,19,45,41.39702099996612,9,5.581015999950978,False,0.49304845525575064,0.4566530331446508,17,174,4
30,11,13,601,821,221,4,150,8.0,19.56561085972851,0.6199095022624435,58,0.11764705882352941,26,0.038,19,45,42.356158000075084,9,5.178053999998156,False,0.49304845525575064,0.4566530331446508,17,174,4
30,12,13,601,821,221,4,150,8.0,19.56561085972851,0.6199095022624435,58,0.11764705882352941,26,0.038,19,45,41.85287499990409,9,5.094109000083336,False,0.49304845525575064,0.4566530331446508,17,174,4
30,13,13,601,821,221,4,150,8.0,19.56561085972851,0.6199095022624435,58,0.11764705882352941,26,0.038,19,45,42.49971700005517,9,5.746668000028876,False,0.49304845525575064,0.4566530331446508,17,174,4
30,14,14,599,838,240,4,134,8.0,22.8,0.5833333333333334,60,0.22083333333333333,53,0.074,37,90,47.30106200008777,10,6.424716000083208,True,0.22488395361318755,0.5515508022492188,17,161,9
30,15,16,625,860,236,4,166,6.0,20.677966101694917,0.7161016949152542,60,0.1483050847457627,35,0.026,13,48,42.70751200010636,9,6.574314000090453,False,0.15298477963971324,0.5703341207105431,7,173,21
30,16,16,625,860,236,4,166,6.0,20.677966101694917,0.7161016949152542,60,0.1483050847457627,35,0.026,13,48,55.21186999999372,9,5.374975999984599,False,0.15298477963971324,0.5703341207105431,7,173,21
30,17,18,566,777,212,4,166,8.0,20.37735849056604,0.6462264150943396,58,0.14622641509433962,31,0.028,14,45,42.81538000009277,9,6.384121000110099,False,0.16451232700284418,0.4630353500332314,16,159,6
30,18,18,566,777,212,4,166,8.0,20.37735849056604,0.6462264150943396,58,0.14622641509433962,31,0.028,14,45,75.85887799996271,9,11.69712800015077,False,0.16451232700284418,0.4630353500332314,16,159,6
30,19,20,563,741,179,4,98,8.0,17.050279329608937,0.6536312849162011,60,0.16759776536312848,30,0.026,13,43,45.36583599997357,8,6.485732999863103,False,0.20408426107339242,0.23360993002644515,5,143,1
50,0,1,1607,2260,654,4,470,10.0,39.006116207951074,0.5290519877675841,98,0.09938837920489296,65,0.01,5,70,131.3648400000602,10,10.55427200003578,True,0.11319827353477697,0.5611948690432947,30,490,69
50,1,1,1607,2260,654,4,470,10.0,39.006116207951074,0.5290519877675841,98,0.09938837920489296,65,0.01,5,70,121.29246299991792,10,14.57196000001204,True,0.11319827353477697,0.5611948690432947,30,490,69
50,2,3,1632,2238,607,4,276,6.0,20.635914332784186,0.6886326194398682,106,0.128500823723229,78,0.014,7,85,95.8988390000286,10,40.77229800009263,True,0.15362298343475872,0.4140435173677481,20,482,27
50,3,3,1632,2238,607,4,276,6.0,20.635914332784186,0.6886326194398682,106,0.128500823723229,78,0.014,7,85,101.12221099984708,10,20.451368000067305,True,0.15362298343475872,0.4140435173677481,20,482,27
50,4,5,1646,2293,648,4,454,8.0,37.0,0.5771604938271605,116,0.13425925925925927,87,0.01,5,92,147.28975200000605,10,17.787631999908626,True,0.08294469870800984,0.3700888913208757,26,511,24
50,5,5,1646,2293,648,4,454,8.0,37.0,0.5771604938271605,116,0.13425925925925927,87,0.01,5,92,168.98415900004693,10,12.145395000061399,True,0.08294469870800984,0.3700888913208757,26,511,24
50,6,7,1719,2375,657,4,438,8.0,21.65905631659056,0.639269406392694,100,0.1187214611872146,78,0.014,7,85,127.23429600009695,10,8.814850000135266,True,0.20933317493272657,0.3255849966024086,18,545,16
50,7,7,1719,2375,657,4,438,8.0,21.65905631659056,0.639269406392694,100,0.1187214611872146,78,0.014,7,85,96.89390800008368,10,8.59665899997708,True,0.20933317493272657,0.3255849966024086,18,545,16
50,8,11,1675,2325,651,4,220,8.0,31.708141321044547,0.5775729646697388,100,0.1382488479262673,90,0.036,18,108,102.68884099991737,10,12.618427000006704,True,0.13822430874308234,0.42957150980348874,17,513,31
50,9,11,1675,2325,651,4,220,8.0,31.708141321044547,0.5775729646697388,100,0.1382488479262673,90,0.036,18,108,129.42778600017846,10,24.776498999926844,True,0.13822430874308234,0.42957150980348874,17,513,31
50,10,11,1675,2325,651,4,220,8.0,31.708141321044547,0.5775729646697388,100,0.1382488479262673,90,0.036,18,108,117.5521119998848,10,16.41043300014644,True,0.13822430874308234,0.42957150980348874,17,513,31
50,11,11,1675,2325,651,4,220,8.0,31.708141321044547,0.5775729646697388,100,0.1382488479262673,90,0.036,18,108,122.81895900014206,10,14.099916000077428,True,0.13822430874308234,0.42957150980348874,17,513,31
50,12,12,1668,2338,671,4,428,10.0,34.70938897168406,0.5380029806259314,98,0.08494783904619971,57,0.002,1,58,111.81527300004745,10,10.333090000131051,True,0.2853790110492345,0.6477932643138368,36,552,26
50,13,14,1711,2370,660,4,278,10.0,33.624242424242425,0.5393939393939394,108,0.0803030303030303,53,0.008,4,57,110.84576799999013,10,19.21111599995129,True,0.16006798440225442,0.4254650435701566,15,590,2
50,14,14,1711,2370,660,4,278,10.0,33.624242424242425,0.5393939393939394,108,0.0803030303030303,53,0.008,4,57,114.17356800006928,10,18.859736999957022,True,0.16006798440225442,0.4254650435701566,15,590,2
50,15,16,1707,2398,692,4,260,8.0,32.18208092485549,0.5635838150289018,98,0.1199421965317919,83,0.02,10,93,108.37314700006573,10,12.967826000021887,True,0.34072318476449165,0.6854504343841682,42,564,3
50,16,16,1707,2398,692,4,260,8.0,32.18208092485549,0.5635838150289018,98,0.1199421965317919,83,0.02,10,93,105.91893700006949,10,12.362102999986746,True,0.34072318476449165,0.6854504343841682,42,564,3
50,17,17,1696,2317,622,4,522,8.0,29.15434083601286,0.6302250803858521,98,0.12540192926045016,78,0.024,12,90,90.50520400001005,10,9.20061200008604,True,0.08425974950834836,0.42155117741357817,46,479,19
50,18,18,1667,2285,619,4,342,8.0,29.534733441033925,0.5848142164781907,106,0.11631663974151858,72,0.008,4,76,101.28965100011555,10,16.66009399991708,True,0.18832205242674346,0.4523813013926093,28,508,11
50,19,22,1735,2407,673,4,430,10.0,33.426448736998516,0.5468053491827637,98,0.09361069836552749,63,0.024,12,75,109.2769069998667,10,9.117155000012644,True,0.17572252074421849,0.31812494218216003,17,591,2
